package,component,fname
ggbeeswarm,geom,geom_beeswarm
ggbeeswarm,geom,geom_quasirandom
ggbeeswarm,position,position_beeswarm
ggbeeswarm,position,position_quasirandom
ggblanket,scale,scale_x_symmetric
ggblanket,scale,scale_y_symmetric
ggborderline,geom,geom_borderline
ggborderline,geom,geom_borderpath
ggborderline,geom,geom_borderstep
ggborderline,scale,scale_bordercolour_continuous
ggborderline,scale,scale_bordercolour_discrete
ggborderline,scale,scale_borderwidth_continuous
ggborderline,scale,scale_borderwidth_discrete
ggbrace,stat,stat_brace
ggbrace,stat,stat_bracetext
ggbrain,geom,geom_brain
ggbrain,geom,geom_outline
ggbrain,geom,geom_region_label
ggbrain,geom,geom_region_label_repel
ggbrain,geom,geom_region_text
ggbrain,geom,geom_region_text_repel
ggbrain,scale,scale_fill_bisided
ggbreak,scale,scale_wrap
ggbreak,scale,scale_x_break
ggbreak,scale,scale_x_cut
ggbreak,scale,scale_y_break
ggbreak,scale,scale_y_cut
ggbrick,geom,geom_brick
ggbrick,geom,geom_brick0
ggbrick,geom,geom_waffle
ggbrick,geom,geom_waffle0
ggbrick,coord,coord_brick
ggbrick,coord,coord_waffle
ggcharts,theme,theme_ggcharts
ggcharts,theme,theme_hermit
ggcharts,theme,theme_ng
ggcharts,theme,theme_nightblue
ggChernoff,geom,geom_chernoff
ggChernoff,scale,scale_brow
ggChernoff,scale,scale_brow_continuous
ggChernoff,scale,scale_eyes
ggChernoff,scale,scale_eyes_continuous
ggChernoff,scale,scale_smile
ggChernoff,scale,scale_smile_continuous
ggcompare,geom,geom_bracket
ggcompare,stat,stat_compare
ggdag,geom,geom_dag_collider_edges
ggdag,geom,geom_dag_edges
ggdag,geom,geom_dag_edges_arc
ggdag,geom,geom_dag_edges_diagonal
ggdag,geom,geom_dag_edges_fan
ggdag,geom,geom_dag_edges_link
ggdag,geom,geom_dag_label
ggdag,geom,geom_dag_label_repel
ggdag,geom,geom_dag_node
ggdag,geom,geom_dag_point
ggdag,geom,geom_dag_text
ggdag,geom,geom_dag_text_repel
ggdag,scale,scale_adjusted
ggdag,scale,scale_dag
ggdag,theme,theme_dag
ggdag,theme,theme_dag_blank
ggdag,theme,theme_dag_gray
ggdag,theme,theme_dag_gray_grid
ggdag,theme,theme_dag_grey
ggdag,theme,theme_dag_grey_grid
ggdag,theme,theme_dag_grid
ggdemetra,geom,geom_arima
ggdemetra,geom,geom_diagnostics
ggdemetra,geom,geom_outlier
ggdemetra,geom,geom_sa
ggdemetra,stat,stat_sa
ggdendro,theme,theme_dendro
ggdensity,geom,geom_hdr
ggdensity,geom,geom_hdr_fun
ggdensity,geom,geom_hdr_lines
ggdensity,geom,geom_hdr_lines_fun
ggdensity,geom,geom_hdr_points
ggdensity,geom,geom_hdr_points_fun
ggdensity,geom,geom_hdr_rug
ggdensity,geom,geom_hdr_rug_fun
ggdensity,stat,stat_hdr
ggdensity,stat,stat_hdr_fun
ggdensity,stat,stat_hdr_lines
ggdensity,stat,stat_hdr_lines_fun
ggdensity,stat,stat_hdr_points
ggdensity,stat,stat_hdr_points_fun
ggdensity,stat,stat_hdr_rug
ggdensity,stat,stat_hdr_rug_fun
ggdibbler,geom,geom_abline_sample
ggdibbler,geom,geom_area_sample
ggdibbler,geom,geom_bar_sample
ggdibbler,geom,geom_bin_2d_sample
ggdibbler,geom,geom_boxplot_sample
ggdibbler,geom,geom_col_sample
ggdibbler,geom,geom_contour_filled_sample
ggdibbler,geom,geom_contour_sample
ggdibbler,geom,geom_count_sample
ggdibbler,geom,geom_crossbar_sample
ggdibbler,geom,geom_curve_sample
ggdibbler,geom,geom_density2d_filled_sample
ggdibbler,geom,geom_density2d_sample
ggdibbler,geom,geom_density_2d_filled_sample
ggdibbler,geom,geom_density_2d_sample
