package,component,fname,dep_type
funStatTest,stat,stat_cff,imports or depends
funStatTest,stat,stat_hkr,imports or depends
funStatTest,stat,stat_med,imports or depends
funStatTest,stat,stat_mo,imports or depends
funStatTest,stat,stat_wmw,imports or depends
GenderInfer,theme,theme_gd,imports or depends
geofacet,facet,facet_geo,imports or depends
geomtextpath,geom,geom_labelabline,imports or depends
geomtextpath,geom,geom_labelcontour,imports or depends
geomtextpath,geom,geom_labelcurve,imports or depends
geomtextpath,geom,geom_labeldensity,imports or depends
geomtextpath,geom,geom_labeldensity2d,imports or depends
geomtextpath,geom,geom_labelhline,imports or depends
geomtextpath,geom,geom_labelline,imports or depends
geomtextpath,geom,geom_labelpath,imports or depends
geomtextpath,geom,geom_labelsegment,imports or depends
geomtextpath,geom,geom_labelsf,imports or depends
geomtextpath,geom,geom_labelsmooth,imports or depends
geomtextpath,geom,geom_labelvline,imports or depends
geomtextpath,geom,geom_textabline,imports or depends
geomtextpath,geom,geom_textcontour,imports or depends
geomtextpath,geom,geom_textcurve,imports or depends
geomtextpath,geom,geom_textdensity,imports or depends
geomtextpath,geom,geom_textdensity2d,imports or depends
geomtextpath,geom,geom_texthline,imports or depends
geomtextpath,geom,geom_textline,imports or depends
geomtextpath,geom,geom_textpath,imports or depends
geomtextpath,geom,geom_textsegment,imports or depends
geomtextpath,geom,geom_textsf,imports or depends
geomtextpath,geom,geom_textsmooth,imports or depends
geomtextpath,geom,geom_textvline,imports or depends
geomtextpath,stat,stat_textcontour,imports or depends
geomtextpath,scale,scale_hjust_discrete,imports or depends
geomtextpath,scale,scale_hjust_identity,imports or depends
geomtextpath,scale,scale_hjust_manual,imports or depends
geomtextpath,scale,scale_vjust_discrete,imports or depends
geomtextpath,scale,scale_vjust_identity,imports or depends
geomtextpath,scale,scale_vjust_manual,imports or depends
geomtextpath,coord,coord_curvedpolar,imports or depends
geomtextpath,guide,guide_axis_textpath,imports or depends
GET,geom,geom_central_region,imports or depends
GET,stat,stat_central_region,imports or depends
ggalign,geom,geom_draw,imports or depends
ggalign,geom,geom_gshape,imports or depends
ggalign,geom,geom_magick,imports or depends
ggalign,geom,geom_pie,imports or depends
ggalign,geom,geom_rect3d,imports or depends
ggalign,geom,geom_subrect,imports or depends
ggalign,geom,geom_subtile,imports or depends
ggalign,geom,geom_tile3d,imports or depends
ggalign,scale,scale_gshape_manual,imports or depends
ggalign,scale,scale_z_binned,imports or depends
ggalign,scale,scale_z_continuous,imports or depends
ggalign,scale,scale_z_date,imports or depends
ggalign,scale,scale_z_datetime,imports or depends
ggalign,scale,scale_z_discrete,imports or depends
ggalign,scale,scale_z_ordinal,imports or depends
ggalign,coord,coord_circle,imports or depends
ggalign,facet,facet_sector,imports or depends
ggalign,theme,theme_no_axes,imports or depends
